MOVIE TITLE,RELEASE YEAR,RUNTIME,IMDB RATING,IMDB VOTES,WORLDWIDE GROSS,ESTIMATED BUDGET,PROFIT,MOVIE REVIEW
Johnny Mnemonic,1995,103,5.7,68634,33300000,26000000,7300000,0
Breakfast at Tiffany's,1961,115,7.6,171993,9652338,2500000,7152338,0
Nausicaä of the Valley of the Wind,1984,117,8.1,144322,7951190,1000000,6951190,1
Double Team,1997,93,4.8,32891,36700000,30000000,6700000,0
To Be or Not to Be,1942,99,8.2,33148,6980360,609000,6371360,0
Top Hat,1935,101,7.8,18314,6980360,609000,6371360,0
Taxi Driver,1976,114,8.2,756576,7638468,1300000,6338468,1
Rebecca,1940,130,8.1,130312,7592465,1288000,6304465,0
Incendies,2010,131,8.3,141773,12597210,6800000,5797210,0
Dial M for Murder,1954,105,8.2,165494,6540000,1400000,5140000,0
The Replacement Killers,1998,87,6.2,28016,35100000,30000000,5100000,0
Sunset Blvd.,1950,110,8.4,209648,5303175,1752000,3551175,1
The Maltese Falcon,1941,100,8,152798,3862960,375000,3487960,0
Deconstructing Harry,1997,96,7.4,43735,23367935,20000000,3367935,0
Supercop,1992,96,6.9,20339,4212823,900000,3312823,0
Requiem for a Dream,2000,102,8.3,746666,7390108,4500000,2890108,1
The Sting,1973,129,8.3,249441,8299101,5500000,2799101,0
The Island of Dr. Moreau,1996,96,4.5,32301,42000000,40000000,2000000,0
Boogie Nights,1997,155,7.9,248656,16700954,15000000,1700954,0
Turbo: A Power Rangers Movie,1997,99,3.7,8683,9615840,8000000,1615840,0
Children of Heaven,1997,89,8.3,61975,1628579,180000,1448579,1
The General,1926,67,8.1,78521,2180000,750000,1430000,0
Forbidden Planet,1956,98,7.6,46849,3250000,1900000,1350000,0
Paths of Glory,1957,88,8.4,185952,2092959,935000,1157959,0
Murder at 1600,1997,107,6.1,29666,41126788,40000000,1126788,0
My Neighbor Totoro,1988,86,8.2,276957,4729463,3700000,1029463,1
Bicycle Thieves,1948,89,8.3,140991,297218,133000,164218,1
On the Waterfront,1954,108,8.1,138069,678960,910000,-231040,1
The Bridge on the River Kwai,1957,161,8.1,210172,2760714,3000000,-239286,0
Ninotchka,1939,110,7.9,19948,1092000,1365000,-273000,0
Meet John Doe,1941,135,7.6,12802,1092000,1365000,-273000,0
Notorious,1946,102,8,96774,1303384,2000000,-696616,0
Warrior,2011,140,8.2,426704,24215385,25000000,-784615,0
Double Indemnity,1944,107,8.3,139152,95249,927262,-832013,0
The Shining,1980,146,8.4,935757,17469946,19000000,-1530054,0
Pinocchio,1940,88,7.4,136158,1068200,2600000,-1531800,1
Some Like It Hot,1959,121,8.2,253239,1039935,2883848,-1843913,1
Blues Brothers 2000,1998,123,4.9,32452,26000000,28000000,-2000000,0
Fantasia,1940,125,7.7,91424,187924,2280000,-2092076,0
Network,1976,121,8.1,141552,1250675,3800000,-2549325,0
For Whom the Bell Tolls,1943,170,6.9,8864,433417,3000000,-2566583,0
Highlander,1986,116,7.1,128325,12885193,16000000,-3114807,0
Everyone Says I Love You,1996,101,6.7,36283,16104765,20000000,-3895235,0
Paradise Lost: The Child Murders at Robin Hood Hills,1996,150,8.3,16043,16104765,20000000,-3895235,0
Butch Cassidy and the Sundance Kid,1969,110,8,208105,1999525,6000000,-4000475,1
The Crow: City of Angels,1996,84,4.7,19828,7500000,13000000,-5500000,0
Wyatt Earp,1994,191,6.7,47440,55952000,63000000,-7048000,0
Another Stakeout,1993,108,5.6,13640,55952000,63000000,-7048000,0
